시도,시군구,읍면동,변전소,전력공급여유_2026,전력공급여유_2027,전력공급여유_2028,전력공급여유_2029,전력공급여유_2030,전력공급여유_2031,전력공급여유_2032,재생e_여유용량_MW,154kV_차단기_전체,154kV_차단기_사용중,154kV_차단기_사용예정,154kV_차단기_여유,345kV_차단기_전체,345kV_차단기_사용중,345kV_차단기_사용예정,345kV_차단기_여유
서울특별시,구로구,신도림동,신광명,0,0,0,0,0,0,0,0,19.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0
서울특별시,구로구,개봉동,오류,0,0,0,0,0,0,0,0,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0
서울특별시,구로구,온수동,온수,0,0,0,0,0,0,0,0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
서울특별시,구로구,천왕동,천왕,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,구로구,천왕동,천왕,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,구로구,천왕동,천왕,0,0,0,0,0,0,0,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,금천구,가산동,가산,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,금천구,가산동,구공,0,0,0,0,0,0,0,0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,금천구,독산동,대방,0,0,0,0,0,40,40,0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,금천구,독산동,독산,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,금천구,시흥동,시흥,0,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,금천구,시흥동,시흥,0,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
